Rank,Population Density ▼,County / Population
58.,62.4/sq mi,"Russell, KY / 17,646"
59.,61.4/sq mi,"Harlan, KY / 28,744"
60.,60.2/sq mi,"Harrison, KY / 18,643"
61.,57.6/sq mi,"Marion, KY / 19,965"
62.,57.5/sq mi,"Allen, KY / 20,219"
63.,56.9/sq mi,"Estill, KY / 14,547"
64.,56.4/sq mi,"Trimble, KY / 8,816"
65.,55.3/sq mi,"Martin, KY / 12,750"
66.,53.7/sq mi,"Larue, KY / 14,149"
67.,53.3/sq mi,"Rockcastle, KY / 16,965"
68.,53.0/sq mi,"Henry, KY / 15,427"
69.,51.9/sq mi,"Pendleton, KY / 14,642"
70.,50.7/sq mi,"Grayson, KY / 25,934"
71.,49.6/sq mi,"Clinton, KY / 10,192"
72.,48.2/sq mi,"Logan, KY / 26,844"
73.,46.1/sq mi,"Adair, KY / 19,032"
74.,45.7/sq mi,"Knott, KY / 16,139"
75.,45.5/sq mi,"Clay, KY / 21,446"
76.,44.1/sq mi,"Hart, KY / 18,427"
77.,43.5/sq mi,"Hancock, KY / 8,654"
78.,42.8/sq mi,"Wayne, KY / 20,728"
79.,42.3/sq mi,"Magoffin, KY / 13,076"
80.,41.9/sq mi,"Mccreary, KY / 18,073"
81.,41.8/sq mi,"Union, KY / 15,192"
82.,41.8/sq mi,"Bath, KY / 11,870"
83.,41.3/sq mi,"Fleming, KY / 14,505"
84.,40.5/sq mi,"Bracken, KY / 8,459"
85.,40.2/sq mi,"Ohio, KY / 23,956"
86.,40.1/sq mi,"Webster, KY / 13,454"
87.,39.4/sq mi,"Washington, KY / 11,871"
88.,39.4/sq mi,"Edmonson, KY / 12,137"
89.,38.7/sq mi,"Green, KY / 11,186"
90.,38.6/sq mi,"Jackson, KY / 13,370"
91.,37.7/sq mi,"Lawrence, KY / 15,850"
92.,37.1/sq mi,"Mclean, KY / 9,510"
93.,37.0/sq mi,"Caldwell, KY / 12,880"
94.,36.4/sq mi,"Lee, KY / 7,681"
95.,35.9/sq mi,"Casey, KY / 16,002"
96.,35.9/sq mi,"Nicholas, KY / 7,064"
97.,35.2/sq mi,"Morgan, KY / 13,522"
98.,34.4/sq mi,"Metcalfe, KY / 10,025"
99.,34.3/sq mi,"Breckinridge, KY / 20,076"
100.,33.1/sq mi,"Todd, KY / 12,499"
101.,33.1/sq mi,"Elliott, KY / 7,781"
102.,32.8/sq mi,"Lyon, KY / 8,415"
103.,32.7/sq mi,"Wolfe, KY / 7,273"
104.,32.6/sq mi,"Monroe, KY / 10,837"
105.,30.8/sq mi,"Menifee, KY / 6,337"
106.,30.3/sq mi,"Owen, KY / 10,740"
107.,30.2/sq mi,"Ballard, KY / 8,274"
108.,29.7/sq mi,"Trigg, KY / 14,277"
109.,29.7/sq mi,"Butler, KY / 12,797"
110.,28.4/sq mi,"Fulton, KY / 6,550"
111.,28.0/sq mi,"Lewis, KY / 13,848"
112.,27.6/sq mi,"Breathitt, KY / 13,663"
113.,27.6/sq mi,"Livingston, KY / 9,443"
114.,27.5/sq mi,"Leslie, KY / 11,128"
115.,25.3/sq mi,"Carlisle, KY / 5,031"
116.,24.9/sq mi,"Crittenden, KY / 9,254"
117.,23.6/sq mi,"Owsley, KY / 4,686"
118.,22.4/sq mi,"Robertson, KY / 2,239"
119.,22.0/sq mi,"Cumberland, KY / 6,829"
120.,18.9/sq mi,"Hickman, KY / 4,790"
