County,Clinton%,Clinton,Trump%,Trump,Other,Others,Total
Colquitt,25.46,"3,463",72.77,"9,898",1.76,240,"13,601
"
Columbia,29.40,"18,887",67.07,"43,085",3.53,"2,270","64,242
"
Cook,29.02,"1,753",69.13,"4,176",1.85,112,"6,041
"
Coweta,27.03,"16,583",69.33,"42,533",3.64,"2,235","61,351
"
Crawford,27.53,"1,421",70.42,"3,635",2.05,106,"5,162
"
Crisp,37.77,"2,837",60.56,"4,549",1.68,126,"7,512
"
Dade,15.46,965,80.92,"5,051",3.62,226,"6,242
"
Dawson,12.37,"1,448",84.59,"9,900",3.04,356,"11,704
"
Decatur,40.16,"4,124",58.62,"6,020",1.23,126,"10,270
"
DeKalb,80.44,"251,370",16.47,"51,468",3.09,"9,666","312,504
"
Dodge,26.28,"1,839",71.75,"5,021",1.97,138,"6,998
"
Dooly,48.51,"1,872",50.56,"1,951",0.93,36,"3,859
"
Dougherty,68.53,"23,311",30.08,"10,232",1.40,475,"34,018
"
Douglas,54.00,"31,005",43.22,"24,817",2.78,"1,594","57,416
"
Early,45.31,"2,168",53.33,"2,552",1.36,65,"4,785
"
Echols,13.27,156,85.63,"1,007",1.11,13,"1,176
"
Effingham,20.73,"4,853",76.37,"17,874",2.90,679,"23,406
"
Elbert,31.86,"2,539",66.40,"5,292",1.74,139,"7,970
"
Emanuel,31.04,"2,435",68.01,"5,335",0.96,75,"7,845
"
Evans,31.37,"1,130",66.74,"2,404",1.89,68,"3,602
"
Fannin,16.33,"1,923",81.79,"9,632",1.89,222,"11,777
"
Fayette,38.53,"23,284",57.99,"35,048",3.48,"2,103","60,435
"
Floyd,26.66,"9,159",70.19,"24,114",3.16,"1,084","34,357
"
Forsyth,24.09,"23,462",71.71,"69,851",4.20,"4,091","97,404
"
Franklin,14.67,"1,243",83.24,"7,054",2.09,177,"8,474
"
Fulton,68.99,"297,051",27.35,"117,783",3.66,"15,765","430,599
"
Gilmer,15.43,"1,965",82.27,"10,477",2.30,293,"12,735
"
Glascock,9.93,138,88.85,"1,235",1.22,17,"1,390
"
Glynn,34.52,"11,775",63.06,"21,512",2.42,825,"34,112
"
Gordon,16.85,"3,181",80.47,"15,191",2.69,507,"18,879
"
Grady,32.75,"3,013",65.79,"6,053",1.47,135,"9,201
"
Greene,36.19,"3,199",62.10,"5,490",1.71,151,"8,840
"
Gwinnett,51.02,"166,153",45.14,"146,989",3.84,"12,494","325,636
"
Habersham,15.39,"2,483",81.75,"13,190",2.86,461,"16,134
"
Hall,23.04,"16,180",73.67,"51,733",3.29,"2,307","70,220
"
Hancock,75.45,"2,701",23.55,843,1.01,36,"3,580
"
Haralson,13.03,"1,475",84.64,"9,585",2.33,264,"11,324
"
Harris,24.91,"4,086",72.78,"11,936",2.31,379,"16,401
"
Hart,25.64,"2,585",72.28,"7,286",2.07,209,"10,080
"
Heard,17.67,743,80.12,"3,370",2.21,93,"4,206
"
Henry,50.93,"50,057",46.52,"45,724",2.55,"2,505","98,286
"
Houston,37.75,"22,553",59.30,"35,430",2.95,"1,761","59,744
"
Irwin,24.31,891,74.11,"2,716",1.58,58,"3,665
"
Jackson,16.57,"4,491",80.36,"21,784",3.08,834,"27,109
"
Jasper,25.64,"1,544",72.39,"4,360",1.98,119,"6,023
"
Jeff Davis,17.70,901,80.61,"4,104",1.69,86,"5,091
"
Jefferson,54.95,"3,821",44.05,"3,063",1.01,70,"6,954
"
Jenkins,36.80,"1,123",62.09,"1,895",1.11,34,"3,052
"
Johnson,30.85,"1,136",68.41,"2,519",0.73,27,"3,682
"
Jones,31.62,"3,961",66.30,"8,305",2.08,260,"12,526
"
Lamar,29.92,"2,270",68.42,"5,190",1.66,126,"7,586
"
Lanier,28.15,806,69.30,"1,984",2.55,73,"2,863
"
Laurens,34.67,"6,752",63.72,"12,411",1.61,313,"19,476
"
Lee,22.46,"3,170",75.42,"10,646",2.12,299,"14,115
"
Liberty,59.29,"9,556",38.06,"6,134",2.65,427,"16,117
"
Lincoln,31.03,"1,273",67.26,"2,759",1.71,70,"4,102
"
Long,33.03,"1,360",63.78,"2,626",3.18,131,"4,117
"
Lowndes,40.03,"15,064",57.50,"21,635",2.47,929,"37,628
"
Lumpkin,18.00,"2,220",77.99,"9,619",4.01,495,"12,334
"
Macon,63.10,"2,705",35.92,"1,540",0.98,42,"4,287
"
Madison,20.29,"2,425",76.97,"9,201",2.74,328,"11,954
"
Marion,38.11,"1,213",60.35,"1,921",1.54,49,"3,183
"
McDuffie,39.91,"3,699",58.61,"5,432",1.48,137,"9,268
"
McIntosh,39.01,"2,303",59.07,"3,487",1.91,113,"5,903
"
Meriwether,41.39,"3,804",56.82,"5,222",1.80,165,"9,191
"
Miller,24.49,623,74.33,"1,891",1.18,30,"2,544
"
Mitchell,44.41,"3,493",54.41,"4,279",1.18,93,"7,865
"
Monroe,28.15,"3,571",69.61,"8,832",2.24,284,"12,687
"
Montgomery,23.78,847,74.96,"2,670",1.26,45,"3,562
"
Morgan,28.21,"2,663",69.48,"6,559",2.31,218,"9,440
"
Murray,14.49,"1,800",83.23,"10,341",2.28,283,"12,424
"
Muscogee,58.04,"39,851",39.29,"26,976",2.67,"1,831","68,658
"
Newton,50.09,"21,943",47.74,"20,913",2.16,947,"43,803
"
Oconee,28.00,"5,581",67.36,"13,425",4.64,925,"19,931
"
Oglethorpe,27.51,"1,831",69.50,"4,625",2.99,199,"6,655
"
Paulding,27.88,"18,025",69.09,"44,662",3.02,"1,954","64,641
"
Peach,47.56,"5,100",50.48,"5,413",1.97,211,"10,724
"
Pickens,14.15,"1,979",83.32,"11,651",2.53,354,"13,984
"
Pierce,12.37,903,86.35,"6,302",1.27,93,"7,298
"
Pike,14.28,"1,240",83.84,"7,278",1.88,163,"8,681
"
Polk,20.23,"2,867",77.73,"11,014",2.04,289,"14,170
"
Pulaski,30.68,"1,104",67.71,"2,437",1.61,58,"3,599
"
Putnam,29.12,"2,758",69.09,"6,544",1.79,170,"9,472
"
Quitman,44.16,461,55.08,575,0.77,8,"1,044
"
Rabun,18.16,"1,444",79.08,"6,287",2.75,219,"7,950
"
Randolph,55.16,"1,598",43.87,"1,271",0.97,28,"2,897
"
Richmond,65.01,"48,814",32.58,"24,461",2.41,"1,811","75,086
"
Rockdale,61.76,"23,255",35.79,"13,478",2.45,923,"37,656
"
Schley,21.01,401,77.11,"1,472",1.89,36,"1,909
"
Screven,40.36,"2,300",57.99,"3,305",1.65,94,"5,699
"
Seminole,33.19,"1,189",65.47,"2,345",1.34,48,"3,582
"
Spalding,36.55,"9,357",61.12,"15,646",2.33,597,"25,600
"
Stephens,18.81,"1,837",78.70,"7,686",2.49,243,"9,766
"
Stewart,59.46,"1,222",39.17,805,1.36,28,"2,055
"
Sumter,50.30,"5,520",48.08,"5,276",1.62,178,"10,974
"
Talbot,61.71,"2,002",36.87,"1,196",1.42,46,"3,244
"
Taliaferro,60.76,545,38.91,349,0.33,3,"897
"
Tattnall,24.41,"1,681",74.01,"5,096",1.58,109,"6,886
"
Taylor,38.06,"1,296",60.62,"2,064",1.32,45,"3,405
"
Telfair,34.60,"1,313",64.56,"2,450",0.84,32,"3,795
"
Terrell,54.22,"2,267",44.82,"1,874",0.96,40,"4,181
"
Thomas,38.12,"7,142",59.92,"11,228",1.96,368,"18,738
"
Tift,30.67,"4,347",67.61,"9,584",1.72,244,"14,175
"
Toombs,25.66,"2,338",72.60,"6,615",1.73,158,"9,111
"
Towns,17.96,"1,210",79.88,"5,383",2.17,146,"6,739
"
Treutlen,31.89,862,66.93,"1,809",1.18,32,"2,703
"
Troup,37.32,"9,713",60.52,"15,750",2.16,561,"26,024
"
Turner,36.71,"1,246",61.73,"2,095",1.56,53,"3,394
"
Twiggs,48.59,"1,971",50.17,"2,035",1.23,50,"4,056
"
Union,16.30,"1,963",81.80,"9,852",1.90,229,"12,044
"
Upson,31.78,"3,475",66.69,"7,292",1.53,167,"10,934
"
Walker,17.59,"4,215",79.10,"18,950",3.30,791,"23,956
"
Walton,20.49,"8,292",76.91,"31,125",2.61,"1,055","40,472
"
Ware,28.29,"3,440",70.01,"8,513",1.69,206,"12,159
"
Warren,56.32,"1,314",42.48,991,1.20,28,"2,333
"
Washington,49.72,"4,200",49.12,"4,149",1.16,98,"8,447
"
Wayne,19.65,"2,041",78.50,"8,153",1.85,192,"10,386
"
Webster,42.38,473,56.45,630,1.16,13,"1,116
"
Wheeler,30.73,646,67.60,"1,421",1.67,35,"2,102
"
White,14.21,"1,674",82.84,"9,761",2.95,348,"11,783
"
Whitfield,26.11,"7,937",70.85,"21,537",3.04,924,"30,398
"
Wilcox,28.66,852,70.50,"2,096",0.84,25,"2,973
"
Wilkes,41.28,"1,848",57.45,"2,572",1.27,57,"4,477
"
Wilkinson,44.27,"1,894",54.53,"2,333",1.19,51,"4,278
"
Worth,24.40,"2,020",74.30,"6,152",1.30,108,"8,280
"
