County,1,2,3,4,5,6,7,8,9,10,11
"Karnes","2,965","70.63","1,145","27.27","70","1.67","12","0.29","6","0.14","4,198"
"Kaufman","29,587","71.70","10,278","24.91","983","2.38","197","0.48","220","0.53","41,265"
"Kendall","15,700","78.03","3,643","18.11","555","2.76","87","0.43","135","0.67","20,120"
"Kenedy","84","45.16","99","53.23","3","1.61","0","0.00","0","0.00","186"
"Kent","360","82.95","59","13.59","14","3.23","0","0.00","1","0.23","434"
"Kerr","17,727","76.09","4,681","20.09","657","2.82","116","0.50","116","0.50","23,297"
"Kimble","1,697","86.94","206","10.55","37","1.90","5","0.26","7","0.36","1,952"
"King","149","93.71","5","3.14","5","3.14","0","0.00","0","0.00","159"
"Kinney","936","65.45","458","32.03","25","1.75","6","0.42","5","0.35","1,430"
"Kleberg","4,367","45.91","4,716","49.58","314","3.30","92","0.97","23","0.24","9,512"
"Knox","1,078","78.86","247","18.07","28","2.05","5","0.37","9","0.66","1,367"
"Lamar","14,561","78.24","3,583","19.25","343","1.84","70","0.38","54","0.29","18,611"
"Lamb","3,111","77.87","771","19.30","85","2.13","8","0.20","20","0.50","3,995"
"Lampasas","6,385","77.82","1,483","18.07","253","3.08","47","0.57","37","0.45","8,205"
"LaSalle","872","42.35","1,129","54.83","44","2.14","10","0.49","4","0.19","2,059"
"Lavaca","7,347","84.83","1,170","13.51","112","1.29","12","0.14","20","0.23","8,661"
"Lee","4,997","76.47","1,372","20.99","126","1.93","28","0.43","12","0.18","6,535"
"Leon","6,391","85.91","909","12.22","94","1.26","13","0.17","32","0.43","7,439"
"Liberty","18,892","77.85","4,862","20.04","364","1.50","85","0.35","64","0.26","24,267"
"Limestone","5,796","74.89","1,778","22.97","128","1.65","27","0.35","10","0.13","7,739"
"Lipscomb","1,159","87.01","135","10.14","25","1.88","3","0.23","10","0.75","1,332"
"Live Oak","3,464","80.52","742","17.25","65","1.51","13","0.30","18","0.42","4,302"
"Llano","8,299","79.44","1,825","17.47","205","1.96","65","0.62","53","0.51","10,447"
"Loving","58","89.23","4","6.15","1","1.54","2","3.08","0","0.00","65"
"Lubbock","65,651","66.31","28,023","28.30","3,917","3.96","633","0.64","789","0.80","99,013"
"Lynn","1,546","76.95","403","20.06","41","2.04","7","0.35","12","0.60","2,009"
"Madison","3,351","78.13","881","20.54","45","1.05","8","0.19","4","0.09","4,289"
"Marion","2,983","70.39","1,165","27.49","71","1.68","13","0.31","6","0.14","4,238"
"Martin","1,455","82.58","266","15.10","31","1.76","5","0.28","5","0.28","1,762"
"Mason","1,656","80.51","354","17.21","37","1.80","7","0.34","3","0.15","2,057"
"Matagorda","8,366","68.60","3,500","28.70","239","1.96","53","0.43","38","0.31","12,196"
"Maverick","2,816","20.72","10,397","76.52","266","1.96","109","0.80","0","0.00","13,588"
"McCulloch","2,552","82.24","482","15.53","51","1.64","9","0.29","9","0.29","3,103"
"McLennan","48,260","61.03","27,063","34.22","2,492","3.15","473","0.60","787","1.00","79,075"
"McMullen","454","90.98","40","8.02","2","0.40","1","0.20","2","0.40","499"
"Medina","12,085","70.07","4,634","26.87","403","2.34","106","0.61","18","0.10","17,246"
"Menard","682","78.94","154","17.82","25","2.89","1","0.12","2","0.23","864"
"Midland","36,973","75.13","10,025","20.37","1,667","3.39","203","0.41","344","0.70","49,212"
"Milam","6,364","73.45","2,051","23.67","178","2.05","49","0.57","22","0.25","8,664"
"Mills","1,951","86.90","243","10.82","41","1.83","6","0.27","4","0.18","2,245"
"Mitchell","1,780","81.06","354","16.12","50","2.28","7","0.32","5","0.23","2,196"
"Montague","7,526","87.47","885","10.29","170","1.98","23","0.27","0","0.00","8,604"
"Montgomery","150,314","73.46","45,835","22.40","6,142","3.00","1,018","0.50","1,323","0.65","204,632"
"Moore","3,977","75.26","1,098","20.78","166","3.14","26","0.49","17","0.32","5,284"
"Morris","3,446","69.29","1,425","28.65","77","1.55","19","0.38","6","0.12","4,973"
"Motley","566","92.03","40","6.50","9","1.46","0","0.00","0","0.00","615"
"Nacogdoches","14,771","65.29","6,846","30.26","702","3.10","159","0.70","144","0.64","22,622"
"Navarro","11,994","72.99","4,002","24.35","343","2.09","58","0.35","36","0.22","16,433"
"Newton","4,288","77.48","1,156","20.89","66","1.19","13","0.23","11","0.20","5,534"
"Nolan","3,552","73.13","1,029","21.19","142","2.92","22","0.45","112","2.31","4,857"
"Nueces","50,766","48.62","49,198","47.12","3,324","3.18","847","0.81","270","0.26","104,405"
"Ochiltree","2,628","87.54","274","9.13","75","2.50","5","0.17","20","0.67","3,002"
"Oldham","850","89.66","78","8.23","14","1.48","3","0.32","3","0.32","948"
"Orange","25,513","79.73","5,735","17.92","550","1.72","115","0.36","87","0.27","32,000"
"Palo Pinto","8,284","80.66","1,708","16.63","210","2.04","48","0.47","20","0.19","10,270"
"Panola","8,445","81.08","1,835","17.62","109","1.05","24","0.23","3","0.03","10,416"
"Parker","46,473","81.79","8,344","14.69","1,439","2.53","215","0.38","346","0.61","56,817"
"Parmer","1,915","77.66","485","19.67","55","2.23","4","0.16","7","0.28","2,466"
"Pecos","2,468","58.97","1,554","37.13","127","3.03","26","0.62","10","0.24","4,185"
"Polk","15,176","76.45","4,187","21.09","367","1.85","86","0.43","36","0.18","19,852"
"Potter","19,630","68.51","7,657","26.73","1,028","3.59","190","0.66","146","0.51","28,651"
"Presidio","652","29.53","1,458","66.03","64","2.90","29","1.31","5","0.23","2,208"
"Rains","3,968","84.41","628","13.36","80","1.70","15","0.32","10","0.21","4,701"
"Randall","43,462","80.03","8,367","15.41","1,872","3.45","228","0.42","376","0.69","54,305"
"Reagan","709","78.43","167","18.47","22","2.43","2","0.22","4","0.44","904"
"Real","1,382","82.21","262","15.59","28","1.67","6","0.36","3","0.18","1,681"
"Red River","3,926","76.07","1,149","22.26","67","1.30","8","0.16","11","0.21","5,161"
"Reeves","1,417","44.50","1,659","52.10","98","3.08","10","0.31","0","0.00","3,184"
"Refugio","1,830","62.08","1,034","35.07","71","2.41","10","0.34","3","0.10","2,948"
"Roberts","524","94.58","20","3.61","6","1.08","0","0.00","4","0.72","554"
"Robertson","4,668","66.35","2,203","31.31","125","1.78","17","0.24","22","0.31","7,035"
"Rockwall","28,451","71.22","9,655","24.17","1,305","3.27","207","0.52","330","0.83","39,948"
"Runnels","3,250","85.93","453","11.98","60","1.59","13","0.34","6","0.16","3,782"
"Rusk","14,675","77.26","3,935","20.72","333","1.75","51","0.27","0","0.00","18,994"
"Sabine","3,998","85.96","614","13.20","27","0.58","9","0.19","3","0.06","4,651"
"San Augustine","2,622","73.47","910","25.50","30","0.84","6","0.17","1","0.03","3,569"
"San Jacinto","8,059","77.92","2,038","19.70","170","1.64","52","0.50","24","0.23","10,343"
"San Patricio","13,030","60.17","7,871","36.35","573","2.65","113","0.52","69","0.32","21,656"
"San Saba","2,025","85.91","293","12.43","32","1.36","4","0.17","3","0.13","2,357"
"Schleicher","821","77.53","208","19.64","24","2.27","3","0.28","3","0.28","1,059"
"Scurry","4,410","83.38","733","13.86","103","1.95","22","0.42","21","0.40","5,289"
"Shackelford","1,378","91.62","103","6.85","21","1.40","0","0.00","2","0.13","1,504"
"Shelby","7,179","79.01","1,758","19.35","123","1.35","21","0.23","5","0.06","9,086"
"Sherman","807","86.31","96","10.27","27","2.89","3","0.32","2","0.21","935"
"Smith","58,930","69.52","22,300","26.31","2,076","2.45","341","0.40","1,121","1.32","84,768"
"Somervell","3,206","82.27","541","13.88","107","2.75","23","0.59","20","0.51","3,897"
"Starr","2,224","18.94","9,289","79.12","159","1.35","68","0.58","0","0.00","11,740"
"Stephens","3,034","87.66","348","10.05","65","1.88","7","0.20","7","0.20","3,461"
"Sterling","549","86.73","70","11.06","9","1.42","5","0.79","0","0.00","633"
"Stonewall","555","79.17","135","19.26","10","1.43","1","0.14","0","0.00","701"
"Sutton","1,075","75.92","313","22.10","22","1.55","5","0.35","1","0.07","1,416"
"Swisher","1,671","75.82","462","20.96","51","2.31","6","0.27","14","0.64","2,204"
"Tarrant","345,921","51.74","288,392","43.14","23,775","3.56","5,413","0.81","5,013","0.75","668,514"
"Taylor","33,250","72.66","10,085","22.04","1,763","3.85","289","0.63","372","0.81","45,759"
"Terrell","288","65.75","140","31.96","10","2.28","0","0.00","0","0.00","438"
"Terry","2,459","73.29","753","22.44","112","3.34","21","0.63","10","0.30","3,355"
"Throckmorton","715","88.49","84","10.40","7","0.87","2","0.25","0","0.00","808"
"Titus","6,511","69.13","2,597","27.57","191","2.03","44","0.47","76","0.81","9,419"
"Tom Green","27,494","71.45","9,173","23.84","1,402","3.64","218","0.57","192","0.50","38,479"
"Travis","127,209","27.14","308,260","65.77","21,958","4.68","7,462","1.59","3,831","0.82","468,720"
"Trinity","4,737","79.15","1,154","19.28","80","1.34","11","0.18","3","0.05","5,985"
"Tyler","6,624","82.63","1,248","15.57","103","1.28","22","0.27","19","0.24","8,016"
"Upshur","13,209","82.49","2,380","14.86","283","1.77","59","0.37","82","0.51","16,013"
"Upton","1,007","74.76","286","21.23","49","3.64","3","0.22","2","0.15","1,347"
"Uvalde","4,835","53.94","3,867","43.14","191","2.13","54","0.60","17","0.19","8,964"
"Val Verde","5,890","43.25","6,964","51.14","573","4.21","131","0.96","59","0.43","13,617"
"Van Zandt","18,473","84.39","2,799","12.79","385","1.76","77","0.35","156","0.71","21,890"
"Victoria","21,275","68.36","8,866","28.49","782","2.51","156","0.50","44","0.14","31,123"
"Walker","12,884","65.08","6,091","30.77","560","2.83","161","0.81","100","0.51","19,796"
"Waller","10,531","62.74","5,748","34.25","342","2.04","104","0.62","59","0.35","16,784"
"Ward","2,547","73.93","783","22.73","82","2.38","10","0.29","23","0.67","3,445"
"Washington","10,945","73.81","3,382","22.81","352","2.37","70","0.47","79","0.53","14,828"
"Webb","12,947","22.75","42,307","74.35","1,033","1.82","591","1.04","27","0.05","56,905"
"Wharton","10,149","68.89","4,238","28.77","269","1.83","51","0.35","25","0.17","14,732"
"Wheeler","2,087","90.50","194","8.41","21","0.91","4","0.17","0","0.00","2,306"
"Wichita","27,631","72.49","8,770","23.01","1,308","3.43","256","0.67","154","0.40","38,119"
"Wilbarger","3,166","77.13","809","19.71","115","2.80","13","0.32","2","0.05","4,105"
"Willacy","1,547","30.36","3,422","67.16","95","1.86","31","0.61","0","0.00","5,095"
"Williamson","104,175","51.30","84,468","41.59","10,229","5.04","2,047","1.01","2,162","1.06","203,081"
"Wilson","13,998","72.04","4,790","24.65","392","2.02","82","0.42","170","0.87","19,432"
"Winkler","1,403","74.79","420","22.39","49","2.61","1","0.05","3","0.16","1,876"
"Wise","20,670","83.43","3,412","13.77","505","2.04","91","0.37","98","0.40","24,776"
"Wood","15,700","83.84","2,630","14.04","280","1.50","64","0.34","53","0.28","18,727"
"Yoakum","1,797","78.03","426","18.50","73","3.17","3","0.13","4","0.17","2,303"
"Young","6,601","85.65","876","11.37","180","2.34","19","0.25","31","0.40","7,707"
"Zapata","1,029","32.75","2,063","65.66","34","1.08","16","0.51","0","0.00","3,142"
"Zavala","694","20.44","2,636","77.62","50","1.47","16","0.47","0","0.00","3,396"


