County,Dem,1,Rep,2,3,4,5
Harper,15.24,393,77.42,"1,996",7.33,189,"2,578
"
Harvey,33.98,"5,068",58.11,"8,668",7.91,"1,180","14,916
"
Haskell,18.09,245,76.81,"1,040",5.10,69,"1,354
"
Hodgeman,12.19,124,84.07,855,3.74,38,"1,017
"
Jackson,25.99,"1,512",67.70,"3,939",6.31,367,"5,818
"
Jefferson,30.20,"2,518",62.53,"5,213",7.27,606,"8,337
"
Jewell,12.05,180,81.86,"1,223",6.09,91,"1,494
"
Johnson,44.76,"129,852",47.40,"137,490",7.84,"22,748","290,090
"
Kearny,13.22,174,81.69,"1,075",5.09,67,"1,316
"
Kingman,17.97,599,75.88,"2,530",6.15,205,"3,334
"
Kiowa,10.57,114,83.41,900,6.02,65,"1,079
"
Labette,28.26,"2,291",65.81,"5,335",5.93,481,"8,107
"
Lane,12.17,106,82.43,718,5.40,47,"871
"
Leavenworth,33.69,"10,209",58.21,"17,638",8.10,"2,454","30,301
"
Lincoln,14.69,215,80.53,"1,179",4.78,70,"1,464
"
Linn,16.63,736,78.70,"3,484",4.68,207,"4,427
"
Logan,10.98,149,83.42,"1,132",5.60,76,"1,357
"
Lyon,37.83,"4,649",53.32,"6,552",8.85,"1,087","12,288
"
Marion,21.41,"1,204",71.18,"4,003",7.41,417,"5,624
"
Marshall,22.94,"1,072",70.77,"3,307",6.29,294,"4,673
"
McPherson,25.32,"3,226",67.09,"8,549",7.59,967,"12,742
"
Meade,12.21,210,82.27,"1,415",5.52,95,"1,720
"
Miami,26.57,"3,991",66.59,"10,003",6.84,"1,028","15,022
"
Mitchell,16.21,477,78.45,"2,308",5.34,157,"2,942
"
Montgomery,21.97,"2,637",72.30,"8,679",5.73,688,"12,004
"
Morris,22.90,601,69.36,"1,820",7.74,203,"2,624
"
Morton,12.33,147,83.47,995,4.19,50,"1,192
"
Nemaha,14.15,725,80.52,"4,124",5.33,273,"5,122
"
Neosho,23.77,"1,501",70.18,"4,431",6.05,382,"6,314
"
Ness,11.14,162,84.46,"1,228",4.40,64,"1,454
"
Norton,12.58,281,82.36,"1,840",5.06,113,"2,234
"
Osage,24.88,"1,753",68.49,"4,826",6.63,467,"7,046
"
Osborne,13.03,233,81.66,"1,460",5.31,95,"1,788
"
Ottawa,14.61,424,78.64,"2,283",6.75,196,"2,903
"
Pawnee,21.76,579,71.55,"1,904",6.69,178,"2,661
"
Phillips,11.26,300,83.82,"2,233",4.92,131,"2,664
"
Pottawatomie,20.81,"2,225",71.19,"7,612",8.01,856,"10,693
"
Pratt,20.07,771,73.87,"2,838",6.06,233,"3,842
"
Rawlins,11.07,163,82.88,"1,220",6.05,89,"1,472
"
Reno,28.24,"6,837",64.08,"15,513",7.68,"1,860","24,210
"
Republic,14.83,375,80.03,"2,024",5.14,130,"2,529
"
Rice,18.27,695,74.58,"2,837",7.15,272,"3,804
"
Riley,43.38,"9,341",46.94,"10,107",9.68,"2,084","21,532
"
Rooks,11.37,275,83.96,"2,031",4.67,113,"2,419
"
Rush,15.50,233,79.64,"1,197",4.86,73,"1,503
"
Russell,14.44,461,80.61,"2,574",4.95,158,"3,193
"
Saline,28.63,"6,317",62.67,"13,828",8.70,"1,919","22,064
"
Scott,10.72,236,84.70,"1,865",4.59,101,"2,202
"
Sedgwick,36.88,"69,627",55.28,"104,353",7.84,"14,803","188,783
"
Seward,32.31,"1,628",62.70,"3,159",4.98,251,"5,038
"
Shawnee,44.99,"33,926",47.65,"35,934",7.35,"5,546","75,406
"
Sheridan,09.24,127,87.12,"1,197",3.64,50,"1,374
"
Sherman,13.28,347,79.98,"2,089",6.74,176,"2,612
"
Smith,14.54,297,81.34,"1,661",4.11,84,"2,042
"
Stafford,16.03,304,78.59,"1,490",5.38,102,"1,896
"
Stanton,18.05,115,77.24,492,4.71,30,"637
"
Stevens,11.63,220,84.56,"1,599",3.81,72,"1,891
"
Sumner,21.35,"2,076",71.84,"6,984",6.81,662,"9,722
"
Thomas,13.23,473,81.32,"2,908",5.45,195,"3,576
"
Trego,13.36,198,82.79,"1,227",3.85,57,"1,482
"
Wabaunsee,22.96,776,70.18,"2,372",6.86,232,"3,380
"
Wallace,05.76,46,90.35,721,3.88,31,"798
"
Washington,14.00,387,79.35,"2,194",6.65,184,"2,765
"
Wichita,14.64,140,80.44,769,4.92,47,"956
"
Wilson,16.54,594,77.64,"2,788",5.82,209,"3,591
"
Woodson,18.92,273,74.98,"1,082",6.10,88,"1,443
"
Wyandotte,61.80,"30,146",32.40,"15,806",5.80,"2,829","48,781
"
