

"Buchanan
","1,721
","18.61%
","7,296
","78.90%
","122
","1.32%
","59
","0.64%
","24
","0.26%
","25
","0.27%
","−5,575
","−60.29%
","9,247
"
"Buckingham
","3,128
","42.88%
","3,950
","54.15%
","102
","1.40%
","58
","0.80%
","27
","0.37%
","30
","0.41%
","−822
","−11.27%
","7,295
"
"Campbell
","6,664
","24.20%
","19,551
","71.00%
","665
","2.42%
","419
","1.52%
","102
","0.37%
","134
","0.49%
","−12,887
","−46.80%
","27,535
"
"Caroline
","6,432
","43.28%
","7,147
","48.09%
","368
","2.48%
","154
","1.04%
","99
","0.67%
","663
","4.46%
","−715
","−4.81%
","14,863
"
"Carroll
","2,559
","18.72%
","10,663
","78.01%
","220
","1.61%
","88
","0.64%
","69
","0.50%
","69
","0.50%
","−8,104
","−59.29%
","13,668
"
"Charles City
","2,496
","60.77%
","1,476
","35.94%
","67
","1.63%
","39
","0.95%
","15
","0.37%
","14
","0.34%
","1,020
","24.84%
","4,107
"
"Charlotte
","2,155
","37.10%
","3,479
","59.90%
","111
","1.91%
","38
","0.65%
","11
","0.19%
","14
","0.24%
","−1,324
","−22.80%
","5,808
"
"Chesterfield
","81,074
","45.94%
","85,045
","48.19%
","6,247
","3.54%
","2,004
","1.14%
","990
","0.56%
","1,101
","0.62%
","−3,971
","−2.25%
","176,461
"
"Clarke
","3,051
","37.15%
","4,661
","56.75%
","261
","3.18%
","111
","1.35%
","55
","0.67%
","74
","0.90%
","−1,610
","−19.60%
","8,213
"
"Craig
","541
","19.36%
","2,140
","76.59%
","54
","1.93%
","30
","1.07%
","20
","0.72%
","9
","0.32%
","−1,599
","−57.23%
","2,794
"
"Culpeper
","7,759
","34.92%
","13,349
","60.08%
","584
","2.63%
","242
","1.09%
","176
","0.79%
","108
","0.49%
","−5,590
","−25.16%
","22,218
"
"Cumberland
","2,036
","41.50%
","2,697
","54.97%
","95
","1.94%
","32
","0.65%
","24
","0.49%
","22
","0.45%
","−661
","−13.47%
","4,906
"
"Dickenson
","1,335
","20.73%
","4,932
","76.58%
","81
","1.26%
","43
","0.67%
","14
","0.22%
","35
","0.54%
","−3,597
","−55.85%
","6,440
"
"Dinwiddie
","5,765
","42.47%
","7,447
","54.86%
","196
","1.44%
","79
","0.58%
","46
","0.34%
","42
","0.31%
","−1,682
","−12.39%
","13,575
"
"Essex
","2,542
","47.00%
","2,657
","49.13%
","113
","2.09%
","25
","0.46%
","18
","0.33%
","53
","0.98%
","−115
","−2.13%
","5,408
"
"Fairfax
","355,133
","64.43%
","157,710
","28.61%
","15,664
","2.84%
","10,369
","1.88%
","4,477
","0.81%
","7,830
","1.42%
","197,423
","35.82%
","551,183
"
"Fauquier
","12,971
","34.62%
","22,127
","59.06%
","1,191
","3.18%
","597
","1.59%
","267
","0.71%
","314
","0.84%
","−9,156
","−24.44%
","37,467
"
"Floyd
","2,300
","28.57%
","5,293
","65.74%
","185
","2.30%
","91
","1.13%
","107
","1.33%
","75
","0.93%
","−2,993
","−37.18%
","8,051
"
"Fluvanna
","5,760
","42.36%
","7,025
","51.67%
","425
","3.13%
","218
","1.60%
","80
","0.59%
","89
","0.65%
","−1,265
","−9.30%
","13,597
"
"Franklin
","7,257
","26.91%
","18,569
","68.85%
","602
","2.23%
","274
","1.02%
","115
","0.43%
","154
","0.57%
","−11,312
","−41.94%
","26,971
"
"Frederick
","11,932
","29.51%
","26,083
","64.50%
","1,280
","3.17%
","543
","1.34%
","325
","0.80%
","277
","0.68%
","−14,151
","−34.99%
","40,440
"
"Giles
","1,950
","23.75%
","5,910
","71.98%
","201
","2.45%
","77
","0.94%
","39
","0.47%
","34
","0.41%
","−3,960
","−48.23%
","8,211
"
"Gloucester
","5,404
","27.54%
","13,096
","66.75%
","693
","3.53%
","213
","1.09%
","134
","0.68%
","79
","0.40%
","−7,692
","−39.21%
","19,619
"
"Goochland
","4,889
","34.83%
","8,384
","59.73%
","474
","3.38%
","145
","1.03%
","54
","0.38%
","91
","0.65%
","−3,495
","−24.90%
","14,037
"
"Grayson
","1,407
","19.31%
","5,592
","76.76%
","110
","1.51%
","93
","1.28%
","55
","0.75%
","28
","0.38%
","−4,185
","−57.45%
","7,285
"
"Greene
","2,924
","30.43%
","5,945
","61.88%
","406
","4.23%
","167
","1.74%
","66
","0.69%
","100
","1.04%
","−3,021
","−31.44%
","9,608
"
"Greensville
","2,558
","58.63%
","1,737
","39.81%
","50
","1.15%
","12
","0.28%
","0
","0.00%
","6
","0.14%
","821
","18.82%
","4,363
"
"Halifax
","6,897
","40.57%
","9,704
","57.08%
","237
","1.39%
","77
","0.45%
","44
","0.26%
","42
","0.25%
","−2,807
","−16.51%
","17,001
"
"Hanover
","19,382
","30.89%
","39,630
","63.15%
","2,310
","3.68%
","741
","1.18%
","314
","0.50%
","376
","0.60%
","−20,248
","−32.27%
","62,753
"
"Henrico
","93,935
","57.40%
","59,857
","36.58%
","5,657
","3.46%
","1,997
","1.22%
","1,081
","0.66%
","1,127
","0.69%
","34,078
","20.82%
","163,654
"
"Henry
","8,198
","34.01%
","15,208
","63.09%
","378
","1.57%
","147
","0.61%
","98
","0.41%
","77
","0.32%
","−7,010
","−29.08%
","24,106
"
"Highland
","371
","26.67%
","958
","68.87%
","33
","2.37%
","21
","1.51%
","0
","0.00%
","8
","0.58%
","−587
","−42.20%
","1,391
"
"Isle of Wight
","7,881
","37.40%
","12,204
","57.91%
","589
","2.79%
","207
","0.98%
","81
","0.38%
","113
","0.54%
","−4,323
","−20.51%
","21,075
"
"James City
","19,105
","44.62%
","21,306
","49.77%
","1,395
","3.26%
","686
","1.60%
","281
","0.66%
","40
","0.09%
","−2,201
","−5.14%
","42,813
"
"King and Queen
","1,468
","39.71%
","2,099
","56.78%
","75
","2.03%
","13
","0.35%
","18
","0.49%
","24
","0.65%
","−631
","−17.07%
","3,697
"
"King George
","4,007
","33.23%
","7,341
","60.88%
","367
","3.04%
","177
","1.47%
","83
","0.69%
","84
","0.70%
","−3,334
","−27.65%
","12,059
"
"King William
","2,760
","30.13%
","5,975
","65.22%
","261
","2.85%
","71
","0.78%
","44
","0.48%
","50
","0.55%
","−3,215
","−35.09%
","9,161
"
"Lancaster
","2,869
","43.18%
","3,523
","53.02%
","141
","2.12%
","41
","0.62%
","35
","0.53%
","36
","0.54%
","−654
","−9.84%
","6,645
"
"Lee
","1,627
","17.31%
","7,543
","80.25%
","106
","1.13%
","45
","0.48%
","33
","0.35%
","45
","0.48%
","−5,916
","−62.94%
","9,399
"
"Loudoun
","100,795
","55.05%
","69,949
","38.20%
","5,674
","3.10%
","3,413
","1.86%
","1,316
","0.72%
","1,950
","1.07%
","30,846
","16.85%
","183,097
"
"Louisa
","6,212
","35.23%
","10,528
","59.71%
","505
","2.86%
","163
","0.92%
","124
","0.70%
","99
","0.56%
","−4,316
","−24.48%
","17,631
"
"Lunenburg
","2,227
","39.87%
","3,204
","57.36%
","88
","1.58%
","32
","0.57%
","25
","0.45%
","10
","0.18%
","−977
","−17.49%
","5,586
"
"Madison
","2,203
","31.57%
","4,419
","63.32%
","184
","2.64%
","87
","1.25%
","43
","0.62%
","43
","0.62%
","−2,216
","−31.75%
","6,979
"
"Mathews
","1,563
","29.43%
","3,517
","66.22%
","147
","2.77%
","36
","0.68%
","31
","0.58%
","17
","0.32%
","−1,954
","−36.79%
","5,311
"
"Mecklenburg
","6,285
","42.05%
","8,288
","55.46%
","239
","1.60%
","54
","0.36%
","30
","0.20%
","49
","0.33%
","−2,003
","−13.40%
","14,945
"
"Middlesex
","2,108
","35.03%
","3,670
","60.99%
","140
","2.33%
","50
","0.83%
","33
","0.55%
","16
","0.27%
","−1,562
","−25.96%
","6,017
"
"Montgomery
","20,021
","46.53%
","19,459
","45.22%
","2,026
","4.71%
","798
","1.85%
","401
","0.93%
","326
","0.76%
","562
","1.31%
","43,031
"
"Nelson
","3,689
","44.35%
","4,154
","49.94%
","244
","2.93%
","95
","1.14%
","81
","0.97%
","55
","0.66%
","−465
","−5.59%
","8,318
"
"New Kent
","3,546
","28.97%
","8,118
","66.31%
","348
","2.84%
","102
","0.83%
","52
","0.42%
","76
","0.62%
","−4,572
","−37.35%
","12,242
"
"Northampton
","3,255
","52.74%
","2,686
","43.52%
","116
","1.88%
","37
","0.60%
","40
","0.65%
","38
","0.62%
","569
","9.22%
","6,172
"
"Northumberland
","2,852
","38.55%
","4,302
","58.15%
","136
","1.84%
","51
","0.69%
","21
","0.28%
","36
","0.49%
","−1,450
","−19.60%
","7,398
"
"Nottoway
","2,829
","41.95%
","3,712
","55.04%
","116
","1.72%
","35
","0.52%
","25
","0.37%
","27
","0.40%
","−883
","−13.09%
","6,744
"
"Orange
","5,957
","34.39%
","10,521
","60.74%
","399
","2.30%
","178
","1.03%
","166
","0.96%
","99
","0.57%
","−4,564
","−26.35%
","17,320
"
"Page
","2,514
","23.41%
","7,831
","72.91%
","198
","1.84%
","89
","0.83%
","38
","0.35%
","70
","0.65%
","−5,317
","−49.51%
","10,740
"
"Patrick
","1,768
","20.74%
","6,454
","75.71%
","147
","1.72%
","71
","0.83%
","49
","0.57%
","36
","0.42%
","−4,686
","−54.97%
","8,525
"
"Pittsylvania
","9,199
","29.11%
","21,554
","68.21%
","442
","1.40%
","202
","0.64%
","106
","0.34%
","95
","0.30%
","−12,355
","−39.10%
","31,598
"
"Powhatan
","4,060
","24.03%
","11,885
","70.33%
","639
","3.78%
","150
","0.89%
","73
","0.43%
","92
","0.54%
","−7,825
","−46.30%
","16,899
"
"Prince Edward
","4,591
","50.21%
","4,101
","44.85%
","286
","3.13%
","85
","0.93%
","53
","0.58%
","27
","0.30%
","490
","5.36%
","9,143
"
"Prince George
","6,419
","39.66%
","9,157
","56.58%
","374
","2.31%
","120
","0.74%
","70
","0.43%
","44
","0.27%
","−2,738
","−16.92%
","16,184
"
"Prince William
","113,144
","57.57%
","71,721
","36.49%
","5,374
","2.73%
","2,995
","1.52%
","1,497
","0.76%
","1,807
","0.92%
","41,423
","21.08%
","196,538
"
"Pulaski
","4,172
","27.51%
","10,322
","68.06%
","351
","2.31%
","171
","1.13%
","107
","0.71%
","44
","0.29%
","−6,150
","−40.55%
","15,167
"
"Rappahannock
","1,747
","38.97%
","2,539
","56.64%
","93
","2.07%
","42
","0.94%
","36
","0.80%
","26
","0.58%
","−792
","−17.67%
","4,483
"
"Richmond
","1,347
","36.79%
","2,213
","60.45%
","57
","1.56%
","21
","0.57%
","13
","0.36%
","10
","0.27%
","−866
","−23.65%
","3,661
"
"Roanoke
","17,200
","33.41%
","31,408
","61.00%
","1,620
","3.15%
","678
","1.32%
","286
","0.56%
","297
","0.58%
","−14,208
","−27.59%
","51,489
"
"Rockbridge County
","3,508
","32.50%
","6,680
","61.88%
","271
","2.51%
","171
","1.58%
","66
","0.61%
","99
","0.92%
","−3,172
","−29.38%
","10,795
"
"Rockingham
","9,366
","24.98%
","25,990
","69.33%
","1,088
","2.90%
","610
","1.63%
","208
","0.55%
","225
","0.60%
","−16,624
","−44.35%
","37,487
"
"Russell
","2,330
","19.03%
","9,521
","77.75%
","190
","1.55%
","104
","0.85%
","58
","0.47%
","43
","0.35%
","−7,191
","−58.72%
","12,246
"
"Scott
","1,581
","15.65%
","8,247
","81.65%
","142
","1.41%
","53
","0.52%
","39
","0.39%
","38
","0.38%
","−6,666
","−66.00%
","10,100
"
"Shenandoah
","5,273
","25.71%
","14,094
","68.71%
","556
","2.71%
","286
","1.39%
","149
","0.73%
","155
","0.76%
","−8,821
","−43.00%
","20,513
"
"Smyth
","2,665
","20.67%
","9,750
","75.64%
","258
","2.00%
","113
","0.88%
","53
","0.41%
","51
","0.40%
","−7,085
","−54.97%
","12,890
"
"Southampton
","3,595
","40.49%
","5,035
","56.71%
","156
","1.76%
","62
","0.70%
","24
","0.27%
","6
","0.07%
","−1,440
","−16.22%
","8,878
"
"Spotsylvania
","24,207
","38.69%
","34,623
","55.34%
","1,910
","3.05%
","900
","1.44%
","450
","0.72%
","472
","0.75%
","−10,416
","−16.65%
","62,562
"
"Stafford
","27,908
","42.33%
","33,868
","51.37%
","2,140
","3.25%
","1,006
","1.53%
","488
","0.74%
","524
","0.79%
","−5,960
","−9.04%
","65,934
"
"Surry
","2,272
","53.74%
","1,819
","43.02%
","81
","1.92%
","29
","0.69%
","17
","0.40%
","10
","0.24%
","453
","10.71%
","4,228
"
"Sussex
","2,879
","57.08%
","2,055
","40.74%
","63
","1.25%
","22
","0.44%
","22
","0.44%
","3
","0.06%
","824
","16.34%
","5,044
"
"Tazewell
","2,895
","15.59%
","15,168
","81.70%
","260
","1.40%
","127
","0.68%
","53
","0.29%
","63
","0.34%
","−12,273
","−66.10%
","18,566
"
"Warren
","5,169
","28.78%
","11,773
","65.55%
","495
","2.76%
","222
","1.24%
","149
","0.83%
","152
","0.85%
","−6,604
","−36.77%
","17,960
"
"Washington
","5,553
","21.48%
","19,320
","74.75%
","537
","2.08%
","229
","0.89%
","93
","0.36%
","115
","0.44%
","−13,767
","−53.26%
","25,847
"
"Westmoreland
","3,836
","44.74%
","4,448
","51.88%
","157
","1.83%
","50
","0.58%
","40
","0.47%
","43
","0.50%
","−612
","−7.14%
","8,574
"
"Wise
","2,701
","17.81%
","12,086
","79.71%
","182
","1.20%
","65
","0.43%
","77
","0.51%
","52
","0.34%
","−9,385
","−61.89%
","15,163
"
"Wythe
","2,770
","20.76%
","10,046
","75.29%
","285
","2.14%
","107
","0.80%
","49
","0.37%
","86
","0.64%
","−7,276
","−54.53%
","13,343
"
"York
","12,999
","38.10%
","18,837
","55.21%
","1,186
","3.48%
","549
","1.61%
","252
","0.74%
","295
","0.86%
","−5,838
","−17.11%
","34,118
"
"Alexandria
","57,242
","76.82%
","13,286
","17.83%
","2,020
","2.71%
","139
","0.19%
","592
","0.79%
","1,233
","1.65%
","43,956
","58.99%
","74,512
"
"Bristol
","1,835
","26.09%
","4,892
","69.57%
","136
","1.93%
","64
","0.91%
","50
","0.71%
","55
","0.78%
","−3,057
","−43.47%
","7,032
"
"Buena Vista
","693
","28.79%
","1,430
","59.41%
","83
","3.45%
","174
","7.23%
","13
","0.54%
","14
","0.58%
","−737
","−30.62%
","2,407
"
"Charlottesville
","17,901
","79.66%
","2,960
","13.17%
","785
","3.49%
","383
","1.70%
","230
","1.02%
","213
","0.95%
","14,941
","66.49%
","22,472
"
"Chesapeake
","52,607
","46.69%
","54,047
","47.96%
","3,458
","3.07%
","1,146
","1.02%
","698
","0.62%
","729
","0.65%
","−1,440
","−1.28%
","112,685
"
"Colonial Heights
","2,367
","27.99%
","5,681
","67.18%
","247
","2.92%
","88
","1.04%
","44
","0.52%
","30
","0.35%
","−3,314
","−39.19%
","8,457
"
"Covington
","914
","38.37%
","1,349
","56.63%
","73
","3.06%
","25
","1.05%
","8
","0.34%
","13
","0.55%
","−435
","−18.26%
","2,382
"
"Danville
","11,059
","58.35%
","7,303
","38.53%
","315
","1.66%
","117
","0.62%
","73
","0.39%
","85
","0.45%
","3,756
","19.82%
","18,952
"
"Emporia
","1,530
","64.64%
","789
","33.33%
","26
","1.10%
","8
","0.34%
","10
","0.42%
","4
","0.17%
","741
","31.31%
","2,367
"
"Fairfax
","7,367
","61.24%
","3,702
","30.77%
","427
","3.55%
","263
","2.19%
","107
","0.89%
","164
","1.36%
","3,665
","30.47%
","12,030
"
"Falls Church
","5,819
","75.02%
","1,324
","17.07%
","237
","3.06%
","228
","2.94%
","70
","0.90%
","79
","1.02%
","4,495
","57.95%
","7,757
"
"Franklin
","2,519
","61.89%
","1,421
","34.91%
","72
","1.77%
","15
","0.37%
","16
","0.39%
","27
","0.66%
","1,098
","26.98%
","4,070
"
"Fredericksburg
","6,707
","59.54%
","3,744
","33.24%
","389
","3.45%
","189
","1.68%
","137
","1.22%
","98
","0.87%
","2,963
","26.31%
","11,264
"
"Galax
","681
","28.66%
","1,603
","67.47%
","45
","1.89%
","28
","1.18%
","7
","0.29%
","12
","0.51%
","−922
","−38.80%
","2,376
"
"Hampton
","41,312
","66.25%
","17,902
","28.71%
","1,658
","2.66%
","551
","0.88%
","474
","0.76%
","459
","0.74%
","23,410
","37.54%
","62,356
"
"Harrisonburg
","10,212
","56.85%
","6,232
","34.69%
","810
","4.51%
","310
","1.73%
","255
","1.42%
","144
","0.80%
","3,980
","22.16%
","17,963
"
"Hopewell
","4,724
","52.44%
","3,885
","43.13%
","212
","2.35%
","91
","1.01%
","58
","0.64%
","38
","0.42%
","839
","9.31%
","9,008
"
"Lexington
","1,514
","61.42%
","766
","31.08%
","92
","3.73%
","56
","2.27%
","20
","0.81%
","17
","0.69%
","748
","30.34%
","2,465
"
"Lynchburg
","14,792
","41.47%
","17,982
","50.41%
","1,379
","3.87%
","998
","2.80%
","208
","0.58%
","312
","0.87%
","−3,190
","−8.94%
","35,671
"
"Manassas
","8,423
","54.66%
","5,953
","38.63%
","488
","3.17%
","246
","1.60%
","147
","0.95%
","154
","1.00%
","2,470
","16.03%
","15,411
"
"Manassas Park
","3,204
","61.24%
","1,733
","33.12%
","162
","3.10%
","57
","1.09%
","45
","0.86%
","31
","0.59%
","1,471
","28.12%
","5,232
"
"Martinsville
","3,533
","59.81%
","2,149
","36.38%
","114
","1.93%
","51
","0.86%
","29
","0.49%
","31
","0.52%
","1,384
","23.43%
","5,907
"
"Newport News
","45,618
","60.25%
","25,468
","33.64%
","2,531
","3.34%
","931
","1.23%
","591
","0.78%
","576
","0.76%
","20,150
","26.61%
","75,715
"
"Norfolk
","57,023
","68.38%
","21,552
","25.85%
","2,717
","3.26%
","761
","0.91%
","797
","0.96%
","538
","0.65%
","35,471
","42.54%
","83,388
"
"Norton
","383
","26.23%
","1,021
","69.93%
","24
","1.64%
","22
","1.51%
","6
","0.41%
","4
","0.27%
","−638
","−43.70%
","1,460
"
"Petersburg
","12,021
","87.20%
","1,451
","10.53%
","139
","1.01%
","58
","0.42%
","67
","0.49%
","50
","0.36%
","10,570
","76.67%
","13,786
"
"Poquoson
","1,601
","22.31%
","5,092
","70.95%
","307
","4.28%
","76
","1.06%
","43
","0.60%
","58
","0.81%
","−3,491
","−48.64%
","7,177
"
"Portsmouth
","28,497
","65.87%
","12,795
","29.57%
","1,096
","2.53%
","331
","0.77%
","323
","0.75%
","223
","0.52%
","15,702
","36.29%
","43,265
"
"Radford
","2,925
","48.07%
","2,638
","43.35%
","301
","4.95%
","113
","1.86%
","58
","0.95%
","50
","0.82%
","287
","4.72%
","6,085
"
"Richmond
","81,259
","78.52%
","15,581
","15.06%
","3,617
","3.50%
","1,124
","1.09%
","1,134
","1.10%
","769
","0.74%
","65,678
","63.47%
","103,484
"
"Roanoke
","22,286
","56.47%
","14,789
","37.47%
","1,316
","3.33%
","413
","1.05%
","411
","1.04%
","251
","0.64%
","7,497
","19.00%
","39,466
"
"Salem
","4,202
","34.37%
","7,226
","59.11%
","442
","3.62%
","158
","1.29%
","92
","0.75%
","105
","0.86%
","−3,024
","−24.74%
","12,225
"
"Staunton
","5,333
","47.38%
","5,133
","45.61%
","419
","3.72%
","159
","1.41%
","109
","0.97%
","102
","0.91%
","200
","1.78%
","11,255
"
"Suffolk
","23,280
","53.84%
","18,006
","41.64%
","1,098
","2.54%
","436
","1.01%
","223
","0.52%
","197
","0.46%
","5,274
","12.20%
","43,240
"
"Virginia Beach
","91,032
","44.79%
","98,224
","48.32%
","8,255
","4.06%
","2,237
","1.10%
","1,737
","0.85%
","1,777
","0.87%
","−7,192
","−3.54%
","203,262
"
"Waynesboro
","3,764
","40.90%
","4,801
","52.16%
","336
","3.65%
","145
","1.58%
","74
","0.80%
","84
","0.91%
","−1,037
","−11.27%
","9,204
"
"Williamsburg
","5,206
","68.27%
","1,925
","25.24%
","231
","3.03%
","100
","1.31%
","84
","1.10%
","80
","1.05%
","3,281
","43.02%
","7,626
"
"Winchester
","5,164
","48.41%
","4,790
","44.90%
","400
","3.75%
","128
","1.20%
","99
","0.93%
","86
","0.81%
","374
","3.51%
","10,667
"

